id,membercount,Name,Engagement % (Last 30 Days),Activity Score (Last 30 Days),Installed Date,Category
0077aa1a-9d57-4299-b81d-60dc546c3ac2,3149,Digital Marketing for Beginners / Experts ☑️,0,0,43917,Learning & Education
00e04683-27c6-47e4-b6ac-37179c637598,99697,CTET and State TET Question Bank 2020 ☑️,336.4363282,40.73444485,43942,Learning & Education
00f0a16d-d54d-4b81-9b41-47ca24df8b56,328,Krakers Official Fan Page,0,0,43958,Entertainment
0156f1d6-9358-4656-a700-45134d7d67ff,145,NA,0,0,01-09-2019,NA
01653ff7-cfd4-45a3-a221-adc262333451,1185,Punjabian Di Shaan Vakhri,0,0,43895,Entertainment
0174b841-57e6-475c-86e9-b02bb760e5c0,16782,பாட்டி வைத்தியம்,41.22862938,13.34274194,43855,Medical & Mental Health
01867017-1202-46eb-8b81-88cf544aed91,404,Gujarati Dhamal,650.448833,11.84751773,44026,Entertainment
018768a6-0559-432b-9305-20e56f4ee69f,4009,Chopta Today,298.844357,80.5704698,44022,Others
01ad8193-ec6e-466e-84cb-325a7162d432,54,NA,0,0,01-09-2019,NA
024baf0f-705c-4dd6-bfc5-a734c3f08bc9,7624,Hindi Jokes,0,0,43897,Humor
0294c658-7330-42ad-87fb-e3ea90f36bb2,950,Fun page kamau wa nyina wa kaka Group,0,0,43920,NA
02b0406b-398a-4152-80d2-dd424b991e26,10768,Kovai Food Guide,0,0,43903,Food & Drink
02dd6071-5410-4d12-8594-c1df9aad8757,163,NA,0,0,01-09-2019,NA
030edbee-cdbf-40e3-a00e-5d8c66828f12,99,NA,0,0,01-09-2019,NA
031a320e-aea4-4a3b-84bc-8db160e33e9b,9531,Travelers & Foodies of Odisha ( Formerly : Puri - Konark - Bhubaneswar),0,0,43984,Travel
031d12d1-b733-4eb1-a71d-47db367f9a8f,51,NA,0,0,01-09-2019,NA
03455b62-f9cc-4005-98b2-92036b781fe7,72,NA,0,0,01-09-2019,NA
037b2951-a150-4383-bf87-9b723041c627,636,A Tribute To The City Of Joy,0,0,43907,Neighborhood/Local Groups
03d5d9cb-6e2f-4e81-9e63-93d8078f6c8f,1076,Digital Marketing Jobs & Services in Hyderabad,0,0,43909,Jobs & Careers
03e9ff50-672d-4d96-a5c4-184d51a89424,347,FREE COD for Online Sellers From Milan Enterprise,0,0,43909,NA
0420a827-cd94-4ab1-8857-7dc964ce92c6,4798,Trichy shopping,0,0,43933,Neighborhood/Local Groups
047b7410-89ee-4fce-88e5-a8392e0f5c2a,397,𝐓𝐡𝐞 𝐏𝐢𝐧𝐝𝐚𝐫𝐢,0,0,43971,Other
04821af0-264e-4229-bf0a-6afdf21da75b,8859,"Samsung Galaxy Phones | S20, A31, S10, Note 10, Note 20",0.989161317,6.833333333,44030,Others
000c3555-8499-4f1e-88b7-fd0872d36d2e,2180,KCR - KALVAKUNTLA CHANDRASHEKAR RAO,0,0,43962,Politics
0120eb25-46d3-4b0a-b29e-1244bff52dfc,70,NA,0,0,01-09-2019,NA
01927d7d-d84d-497a-ae83-3d0fcee8aef0,782,Genetics and Homeopathy,0,0,43933,Entertainment
021f374b-a855-43c6-b156-d5c7231c8761,448,Kallol Kali Bari - Mumbai,18.75,20,43907,Other
02ad04eb-b868-4b27-b960-f9ddcbe36cd8,52,NA,0,0,01-09-2019,NA
02cb8f6e-ef63-4375-a961-78015f40c672,501,Houses for sale in Jefferson County Alabama,0,0,43927,NA
02d15b9b-f636-4df6-9872-8e19cb3a59ad,2322,❤Friendzone👭 👬                                      (Male & Female group),119.2488263,8.735191638,44039,Entertainment
0346c1d4-04d8-423b-812a-59c8d556954c,689,ATOMY-KOREA -INDIA GROUP,0,0,43920,Other
037ebd26-a1a0-4e3e-ae9e-1dd49477f960,290,Taxation Cafe,0.344827586,0,43954,Learning & Education
03da3340-6724-4de6-a412-87a3f5cf9d4a,6796,Gurugram Residents Network,1.615983546,2.928571429,43871,Neighborhood/Local Groups
04b05ae8-de1f-4a0e-be79-aabcc1175fdd,173,NA,0,0,01-09-2019,NA
04b205d5-303b-40a5-9a27-c8d186949b3f,4441,बेटी बचाओ बेटी पढ़ाओ,4.119765871,2.267857143,43914,Parenting
052617eb-7006-4988-ad16-d1d2ac67a77a,1273,"BookMyStall- Jaipur Lifestyle Exhibitions, Wedding Expos & Events",0,0,43854,Business-Brand
055036d2-5832-4e56-8e6f-0e4a67391e35,870,CSK FANS,0,0,43924,Sports & Gaming
0575aafe-7986-42ec-aed7-233859431d34,916,BE Practical Tech solutions pvt ltd,0,0,43904,Learning & Education
05c442f9-30c6-4e3d-b324-b4ec7951f6f1,52,NA,0,0,01-09-2019,NA
06176208-1349-4e75-8e63-e14cb9548bfd,11998,Automobile Retail Industry Jobs,9.638355713,9.173913043,43900,Jobs & Careers
063d4978-0ea5-42a1-8c70-7256ddb7a78c,2202,The Secret Nine,0.817810086,0.125,43907,Hobbies & Interests
06680429-25ae-48ce-9ee5-1640e3de78b2,3557,"Hyderabad: Trekking, camping, hiking, adventure travel and activities",4.325983812,0.347826087,43992,Travel
06ca9c1a-adc4-41a4-a41d-53aaa8aa207f,570,WordGlu Media,0,0,43895,Other
06e39270-c9d2-497e-9894-5a80e8caabd2,153,NA,0,0,01-09-2019,NA
04996d74-d772-4771-abd5-e328724bb30f,1955,After Effects Seattle (AESeattle),0,0,43921,Learning & Education
04b54eaf-2802-4c98-9ab8-e2268c1e04ca,125,NA,0,0,01-09-2019,NA
04c62b94-a2e6-4f34-bb86-384823699c85,18018,Samsung Galaxy Smartphone,3.577690116,9.883333333,44040,Business-Brand
04fbc859-62c8-4e4e-84dc-9700e81047bd,10978,"Bangalore, India - trekking, adventure travel, sports, adventure activities",1.211072664,1.111111111,43992,Travel
054ff90d-9b03-4c5b-b824-21657f096d3e,284,Swadeshi Marketing,86.61971831,1.827586207,43981,Fitness & Health
059d55e8-9d34-47f6-8590-02aef816e3ec,10997,Asthma,0.027324893,0,43965,Fitness & Health
05bc53dd-88c1-40e6-80e0-6ac8ee3d1302,3025,YOUR BABY'S NEED,3936.870447,51.93313458,44023,Parenting
05cb8170-0913-4e15-a7e1-4a9a0af1c501,19101,Dr Bhanu Prakash - Animated Anatomy lectures,5.29180056,31.93548387,44032,Medical & Mental Health
05f732d5-8dfd-47c0-bac8-462f97f511be,2550,Support Pushapam Priya Chaudhary To Change Bihar,0,0,43923,Politics
060c7a03-c683-403b-88e8-9ef0b75e3846,311,Ruijie & VAD & Sub-D Collaboration Group,286.0335196,8.142857143,44030,Business-Brand
06376bcd-9e14-4f93-b605-b600c4d2d495,1154,Global Womenpreneur Clique,715.3019024,11.64327485,43853,Learning & Education
065767a7-aace-4031-8737-c3ecbebeaf2d,23866,TRANSPORT तक,0,0,43959,Vehicles & Commutes
07002825-04a0-40bf-8ace-fd4d9bc16d2b,28968,Marvel Cinematic Universe (MCU) Fan club,13.78158783,14.82213439,43965,Entertainment
07be1651-3d6c-4a3c-b828-ef85b482aec9,1342,India Bettachoice,0,0,43919,Hobbies & Interests
0827f327-47c0-4689-a001-07e7efd68b79,59,NA,0,0,01-09-2019,NA
087e5ffc-5c0e-4bb6-a40b-9c2faf025f6f,122,NA,0,0,01-09-2019,NA
